SITE,CONST,YR,DOY,MP1,MP2,MP5,CRMP1,CRMP2,CRMP5,CRGF,CRMW,CRIOD
AKBA,G,23,91,0.3218,0.5427,0.3894,80.9677,38.3027,113.59,95.7203,103.624,84.6067
AKBA,G,23,92,0.3244,0.5277,0.3901,90.256,42.88,101.908,125.356,112.259,94.8067
AKBA,G,23,93,0.3248,0.5135,0.3883,95.9871,44.1087,101.038,148.113,126.356,110.172
AKBA,G,23,94,0.3271,0.5235,0.384,83.4778,39.8794,118.161,109.413,96.7339,93.5228
AKBA,G,23,95,0.3294,0.508,0.3905,83.403,43.3852,94.0213,118.894,94.3122,91.9835
AKBA,G,23,96,0.3285,0.5126,0.3912,98.5023,44.4049,112.653,138.656,87.076,113.974
AKBA,G,23,97,0.3219,0.5056,0.3814,90.288,43.998,97.1606,127.525,103.068,95.6441
AKBA,G,23,98,0.322,0.5156,0.3893,101.117,43.2865,110.4,139.191,114.462,112.184
AKBA,G,23,99,0.3193,0.513,0.3882,104.292,43.2519,115.417,136.527,88.3412,109.354
AKBA,G,23,100,0.3191,0.5068,0.3858,95.4852,41.4128,95.8129,146.948,103.807,109.854
AKBA,G,23,101,0.3196,0.5104,0.3805,83.8396,40.8597,88.7852,139.559,100.758,94.4076
AKBA,G,23,102,0.3184,0.4921,0.3683,70.8222,38.5294,85.8431,102.806,94.1308,75.3682
AKBA,G,23,103,0.3168,0.4986,0.3855,62.5994,38.2779,85.9542,92.3471,98.885,68.1341
AKBA,G,23,104,0.3267,0.5087,0.3673,87.8118,40.7067,93.9786,138.222,118.476,91.7705
AKBA,G,23,105,0.3223,0.5188,0.3753,79.4504,39.4392,91.1724,126.582,105.188,86.8411
AKBA,G,23,106,0.3204,0.5093,0.3666,93.6542,48.03,135.184,132.218,110.724,104.06
AKBA,G,23,107,0.3155,0.5024,0.3747,81.9745,45.0221,98.6269,119.473,121.411,88.0824
AKBA,G,23,108,0.3183,0.5103,0.3683,145.432,52.4685,134.172,225.42,99.7434,155.462
AKBA,G,23,109,0.321,0.4968,0.3694,110.462,51.3404,131.863,157.688,104.62,121.57
AKBA,G,23,110,0.3135,0.4993,0.3668,90.411,47.7152,96.1269,134.195,92.7696,102.091
AKBA,G,23,111,0.3183,0.5103,0.3683,145.432,52.4685,134.172,225.42,99.7434,155.462
AKBA,G,23,111,0.3251,0.5106,0.3689,87.2674,40.4245,129.716,109.296,100.067,91.1538
AKBA,G,23,112,0.3166,0.5133,0.3738,86.6988,39.3954,134.735,109.005,98.4868,94.7468
AKBA,G,23,113,0.3207,0.52,0.3742,88.9246,42.1149,119.836,117.942,103.745,96.176
AKBA,G,23,114,0.3218,0.508,0.3906,70.3668,37.6655,101.443,112.235,99.323,79.318
AKBA,G,23,115,0.3163,0.5324,0.3748,203.936,49.2418,145.121,295.171,115.041,226.596
AKBA,G,23,116,0.3196,0.5233,0.3748,105.665,42.0489,171.519,133.339,104.678,113.136
AKBA,G,23,117,0.3221,0.5204,0.3792,117.626,40.4511,144.78,137.957,111.745,119.513
AKBA,G,23,118,0.3217,0.5088,0.3681,100.457,43.291,110.521,155.252,121.984,108.828
AKBA,G,23,119,0.3171,0.5131,0.367,86.5953,39.9622,130.257,122.956,99.3527,97.6096
AKBA,G,23,120,0.317,0.5309,0.3779,96.9039,40.7808,127.553,124.669,99.5112,106.177
ALGR,G,23,1,0.2833,0.352,0.2562,155.137,141.09,169.78,531.426,287.092,462.537
ALGR,G,23,2,0.2797,0.3513,0.2565,594.955,523.5,2466.67,844.452,409.031,707.514
ALGR,G,23,3,0.2804,0.3515,0.2613,502.115,457.93,778.421,725.278,307.176,607.209
ALGR,G,23,4,0.2813,0.3509,0.2587,726.833,594.545,1644.67,969.111,384.794,844.065
ALGR,G,23,5,0.2803,0.3541,0.2561,792.485,594.341,1479.7,1005.85,363.222,871.733
ALGR,G,23,6,0.2815,0.3539,0.2666,969.148,670.821,2960.6,1453.72,373.814,1189.41
ALGR,G,23,7,0.2891,0.355,0.2535,567.304,492.264,1641,669.128,322.173,636.488
ALGR,G,23,8,0.2802,0.3539,0.2527,608.605,475.618,1847.12,769.706,415.397,654.25
ALGR,G,23,9,0.2781,0.3515,0.2574,689.053,569.13,1346.55,872.8,402.831,793.455
ALGR,G,23,10,0.2808,0.3604,0.2687,604.417,604.083,2360,1036.14,207.229,659.364
ALGR,G,23,12,0.2943,0.3506,0.2427,721.893,651.935,2772.75,1010.65,354.614,878.826
ALGR,G,23,13,0.2838,0.344,0.2538,688.684,568.783,1481.9,872.333,368.592,793.03
ALGR,G,23,14,0.2936,0.3434,0.2575,290.733,253.981,592.4,379.217,281.355,290.733
ALGR,G,23,15,0.2854,0.3475,0.2562,639.561,595.864,1855.12,845.871,323.728,771.235
ALGR,G,23,16,0.2866,0.3532,0.2632,608.721,503.212,1140.62,844.355,353.716,654.375
ALGR,G,23,17,0.2927,0.3481,0.2574,655.025,545.625,1484.1,793.97,385.309,770.618
ALGR,G,23,18,0.282,0.3538,0.2524,624.048,494.245,1236.08,794.242,364.028,794.242
ALGR,G,23,19,0.2875,0.3531,0.2571,793.939,569.435,2471.33,1139.13,403.077,935.714
ALGR,G,23,20,0.2845,0.3544,0.259,728.028,582.267,1853.38,873.633,327.613,794.212
ALGR,G,23,21,0.2852,0.3502,0.2721,314.94,266.653,778.158,493.208,318.78,373.429
ALGR,G,23,22,0.2895,0.3477,0.26,568.696,458.842,1345.64,654,300.69,594.545
ALGR,G,23,23,0.2854,0.3509,0.2562,663.462,479,1236.58,808.594,349.662,739.286
ALGR,G,23,24,0.2902,0.344,0.2562,444.439,377.94,779.211,633.325,347.027,527.771
ALGR,G,23,25,0.2904,0.3527,0.2599,389.338,337.213,1231.67,632.675,316.337,451.911
ALGR,G,23,26,0.2822,0.3405,0.2507,639.27,549.884,1647.12,815.621,315.373,675.8
ALGR,G,23,27,0.2879,0.3476,0.2593,518.306,453.339,676.227,705.472,373.485,604.69
ALGR,G,23,28,0.2802,0.3487,0.2576,496.431,451.964,778.632,1100.78,395.594,973.769
ALGR,G,23,29,0.282,0.3472,0.2594,639.711,552.227,1059.46,784.161,352.304,736.636
ALGR,G,23,30,0.2827,0.3557,0.2566,579.262,412.119,985.357,715.559,398.836,657.541
ALGR,G,23,31,0.2901,0.342,0.2527,594.146,442.764,989.714,812,293.494,641.053
ALGR,G,23,32,0.2969,0.3462,0.2547,555.045,452.148,1541.67,740.061,339.194,678.389
ALGR,G,23,33,0.2951,0.3458,0.2635,219.189,194.56,689.4,311.923,333.288,245.758
ALGR,G,23,34,0.2939,0.3544,0.2665,233.454,213.517,868.529,331.75,229.209,257.276
ALGR,G,23,35,0.2879,0.3518,0.264,564.044,445.105,1487.2,705.056,352.528,667.947
ALGR,G,23,36,0.2869,0.3555,0.2561,796.062,553.543,2130.86,943.481,499.49,849.133
ALGR,G,23,37,0.2814,0.348,0.2617,768.75,571.698,1298.27,1118.18,390.476,878.571
ALGR,G,23,38,0.2893,0.3439,0.2535,498.938,451.679,925.467,748.406,228.086,684.257
ALGR,G,23,39,0.2846,0.3514,0.2558,677.865,491.686,1049.29,1090.48,325.727,1003.24
ALGR,G,23,40,0.2909,0.3446,0.26,269.903,228,506.414,380.318,313.762,313.762
ALGR,G,23,41,0.2904,0.3498,0.263,444.982,341.247,1042.86,692.194,259.573,437.175
ALGR,G,23,42,0.3026,0.3444,0.2551,194.822,181.993,369.175,253.859,211.193,199.46
ALGR,G,23,43,0.3028,0.3389,0.2694,170.074,153.415,377.846,239.724,204.642,170.074
ALGR,G,23,44,0.2949,0.3323,0.2591,285.236,267.126,414.389,373.324,313.407,291.793
ALGR,G,23,45,0.287,0.3443,0.271,116.028,106.661,263.357,178.567,270.731,121.633
ALGR,G,23,46,0.288,0.3517,0.2722,452.554,337.84,645.13,589.372,278.495,527.979
ALGR,G,23,47,0.289,0.3513,0.2559,240.99,223.805,289.275,337.387,269.191,258.204
ALGR,G,23,48,0.2935,0.3491,0.263,192.557,166.901,467.818,265.526,247.304,211.975
ALGR,G,23,49,0.2869,0.3491,0.2667,217.084,195.614,813.421,293.557,260.939,224.635
ALGR,G,23,50,0.2925,0.3488,0.2656,60.5587,56.1678,168.648,92.1357,180.406,61.1327
ALGR,G,23,51,0.2803,0.3479,0.2559,211.878,192.941,304.529,347.48,352.176,228.605
ALGR,G,23,52,0.2782,0.3465,0.2536,638.073,450.862,1199.08,872.033,344.224,707.054
ALGR,G,23,53,0.2853,0.3455,0.26,249.433,229.496,453.706,332.577,320.259,249.433
ALGR,G,23,54,0.2885,0.3475,0.2619,525.26,430.492,1565.2,673.41,328.288,625.31
ALGR,G,23,55,0.2925,0.354,0.2623,307.647,258.851,502.032,396.212,278.191,315.06
ALGR,G,23,56,0.2926,0.3499,0.2658,171.388,158.805,360.558,241.213,280.118,187.417
ALGR,G,23,57,0.2928,0.3528,0.2627,206.46,184.454,298.442,240.87,218.605,204.835
ALGR,G,23,58,0.2784,0.358,0.2564,672.923,546.688,1301.58,795.273,349.92,690.632
ALGR,G,23,59,0.2917,0.3538,0.2777,83.6161,75.7515,145.245,127.69,219.669,86.9832
ALGR,G,23,60,0.2881,0.3557,0.2586,409.703,374.443,744.286,485.574,369.31,452.086
ALGR,G,23,61,0.2884,0.3513,0.2634,728.306,485.444,781.9,771.147,327.738,689.974
ALGR,G,23,62,0.2969,0.3516,0.259,611.884,453.466,979.562,711.108,279.904,641.732
ALGR,G,23,63,0.298,0.3474,0.2579,710.378,417.063,977.188,773.059,386.529,750.971
ALGR,G,23,64,0.2915,0.3534,0.2624,751.171,423.742,869.556,796.697,345.934,751.171
ALGR,G,23,65,0.2939,0.3565,0.2667,657.775,417.444,1119,773.853,255.447,751.743
ALGR,G,23,66,0.2897,0.3635,0.2682,597.205,369.972,1042.73,847.645,328.462,691.5
ALGR,G,23,67,0.2977,0.3656,0.2704,751.743,410.984,783.4,1011.96,302.425,822.219
ALGR,G,23,68,0.2909,0.3627,0.2634,772,374.943,868.278,937.429,336.513,905.103
ALGR,G,23,69,0.2948,0.3592,0.2628,259.856,211.723,338.196,345.288,355.014,286.432
ALGR,G,23,70,0.2905,0.3499,0.2642,599.5,553.231,966.8,1027.71,224.812,899.25
ALGR,G,23,71,0.2913,0.3609,0.2659,597.295,355.014,823.789,657.025,320.5,625.738
ALGR,G,23,72,0.2902,0.3588,0.2769,98.3547,92.0318,164.745,163.925,230.655,107.702
ALGR,G,23,73,0.295,0.3592,0.2639,328.025,252.231,577.815,460.386,282.172,354.622
ALGR,G,23,74,0.2831,0.359,0.2679,674.821,431.18,825.053,751.943,295.708,657.95
ALGR,G,23,75,0.2918,0.3611,0.2672,179.434,158.537,309.46,220.492,224.293,187.18
ALGR,G,23,76,0.2977,0.3603,0.2658,750.657,558.809,1042.4,847.516,316.542,772.735
ALGR,G,23,77,0.2931,0.3621,0.2683,548.188,375.671,681.609,711.162,317.024,572.022
ALGR,G,23,78,0.2907,0.368,0.2655,751.714,478.109,747,877,365.417,730.833
ALGR,G,23,79,0.2904,0.3682,0.2686,674.359,496.075,1307.25,1011.54,285.87,796.97
ALGR,G,23,80,0.2937,0.3627,0.2674,443.983,368.676,1416.64,569.457,353.986,467.768
ALGR,G,23,81,0.2914,0.3634,0.2635,571.152,444.881,977.75,710.081,364.903,640.805
ALGR,G,23,82,0.2911,0.3608,0.2717,753.143,470.482,1309.17,878.667,346.842,798.788
ALGR,G,23,83,0.2911,0.3657,0.2684,659.15,488.111,1570.8,823.938,342.416,693.842
ALGR,G,23,84,0.3005,0.3585,0.2638,658.575,398.924,825.211,752.657,355.986,658.575
ALGR,G,23,85,0.2952,0.3567,0.2749,391.463,278.84,487.5,546.417,369.408,409.812
ALGR,G,23,86,0.2915,0.3511,0.2718,162.037,150.63,206.387,248.457,248.457,165.114
ALGR,G,23,87,0.2914,0.354,0.276,203.481,172.572,347.178,288.451,345.382,220.58
ALGR,G,23,88,0.2868,0.3586,0.2677,410.016,312.25,869.389,546.688,267.765,444.763
ALGR,G,23,89,0.2955,0.3558,0.266,846.097,403.338,975.875,846.097,257.147,846.097
ALGR,G,23,90,0.2845,0.3631,0.2656,710.378,423.629,1045.47,906.345,285.696,730.111
